species	total_problems	CHECK_ORF	NO_HIT	ERROR
Psilocybe_acutissima_GAM00011063.scaffolds	1	1	0	0
Psilocybe_apelliculosa_UBC-F17545.scaffolds	4	0	4	0
Psilocybe_arcana_ISOTYPE_SFSU-F-000737.scaffolds	1	0	1	0
Psilocybe_argentina_SFSU-F-029894.scaffolds	4	0	4	0
Psilocybe_aztecorum_var_bonetii_NY-1595856.scaffolds	1	1	0	0
Psilocybe_bohemica_SFSU-F-029930.scaffolds	1	0	1	0
Psilocybe_chionophila_OSC-113991.scaffolds	4	0	4	0
Psilocybe_clavata_ISOTYPE_NY-761604.scaffolds	4	0	4	0
Psilocybe_columbiana_ISOTYPE_NY-761607.scaffolds	1	0	0	1
Psilocybe_cubensis_IBUG-4367.scaffolds	1	1	0	0
Psilocybe_fagicola_var_mesocystidiata_NY-761608.scaffolds	1	1	0	0
Psilocybe_fuliginosa_NY-1901148.scaffolds	4	0	4	0
Psilocybe_hoogshageni_SFSU-F-029980.scaffolds	1	1	0	0
Psilocybe_laticystis_UBC-F16759.scaffolds	4	0	4	0
Psilocybe_lazoi_ISOTYPE_NY-761614.scaffolds	4	0	4	0
Psilocybe_liniformans_var_americana_NY-1797145.scaffolds	1	0	1	0
Psilocybe_magica_OSC-111954.scaffolds	4	0	4	0
Psilocybe_mexicana_IBUG-13593.scaffolds	1	0	1	0
Psilocybe_montana_OSC-113978.scaffolds	4	0	4	0
Psilocybe_muliercula_GAM00011071.scaffolds	1	0	1	0
Psilocybe_ovoideocystidiata_ISOTYPE_XAL-51B.scaffolds	1	0	1	0
Psilocybe_pelliculosa_WTU-F-012331.scaffolds	1	0	1	0
Psilocybe_phyllogena_OSC-114015.scaffolds	1	0	0	1
Psilocybe_polytrichophila_NY-1901129.scaffolds	4	0	4	0
Psilocybe_rhomboidospora_CMMF003424.scaffolds	4	0	4	0
Psilocybe_sabulosa_UBC-F13505.scaffolds	4	0	4	0
Psilocybe_strictipes_WTU-F-011411.scaffolds	4	0	4	0
Psilocybe_subcoprophila_UBC-F977.scaffolds	4	0	4	0
Psilocybe_subfimetaria_SFSU-F-029945.scaffolds	1	0	1	0
Psilocybe_subhoogshagenii_NY-915004.scaffolds	1	1	0	0
Psilocybe_subpsilocybioides_HOLOTYPE_CFMR-PR-5689.scaffolds	4	0	4	0
Psilocybe_subviscida_VPI-F-0003697.scaffolds	4	0	4	0
Psilocybe_subyungensis_ISOTYPE_NY-1197500.scaffolds	1	1	0	0
Psilocybe_tuberosa_WTU-F-011378.scaffolds	4	0	4	0
Psilocybe_washingtonensis_WTU-F-055019.scaffolds	4	0	4	0
Psilocybe_xalapensis_ISOTYPE_NY-761630.scaffolds	1	1	0	0
Psilocybe_yungensis_SFSU-29944.scaffolds	2	2	0	0
